Ticker,Trend,Rounds,Market_Return,Benchmark_Return,Winner,Beat_Benchmark,Signal_Follower_Return,Signal_Follower_Wins,Cooperator_Return,Cooperator_Wins,Defector_Return,Defector_Wins,Tit-for-Tat_Return,Tit-for-Tat_Wins,Cooperation_Rate,Gini
NVDA,BULL,90,51.69,61.83,Defector,False,8.27,33,20.27,8,29.32,44,25.05,5,63.2,0.465
TSLA,BULL,90,49.26,57.56,Tit-for-Tat,False,15.33,17,22.22,9,17.43,23,25.64,41,60.6,0.567
MSFT,BULL,90,29.39,33.57,Defector,False,5.92,22,10.01,6,20.65,52,12.11,10,63.8,0.588
AMZN,BULL,90,29.97,33.07,Defector,False,9.13,32,10.25,6,21.48,36,11.53,16,59.5,0.405
AAPL,BULL,90,28.29,31.71,Defector,False,3.21,27,10.92,3,17.94,54,13.01,6,60.4,0.605
GS,BULL,90,26.48,29.04,Defector,False,1.75,37,7.96,0,22.54,50,7.78,3,53.9,0.63
QQQ,BULL,74,23.47,25.96,Defector,False,3.47,21,8.26,0,14.33,49,12.25,4,53.2,0.682
JPM,BULL,90,23.68,25.78,Defector,False,1.97,36,7.73,5,20.65,49,7.98,0,56.2,0.554
V,BULL,90,22.2,24.27,Defector,False,1.78,27,6.68,1,16.15,54,8.05,8,56.9,0.679
META,BULL,90,19.98,20.36,Defector,False,4.44,28,5.08,12,18.84,40,8.4,10,58.8,0.33
WMT,BULL,90,16.84,17.6,Defector,False,0.91,32,6.54,7,8.79,45,7.99,6,56.5,0.356
GOOGL,BULL,90,12.96,12.31,Tit-for-Tat,False,-4.8,25,5.23,19,5.69,34,5.97,12,61.4,0.337
SPY,BULL,79,11.77,12.22,Defector,False,1.56,28,3.19,1,10.25,48,4.22,2,53.9,0.689
PG,SIDEWAYS,64,-2.23,-2.55,Signal Follower,True,1.25,25,-1.08,2,-2.24,33,0.58,4,55.4,0.193
XOM,SIDEWAYS,83,-4.92,-5.38,Tit-for-Tat,True,0.16,36,-0.99,5,-3.37,22,1.75,20,57.6,0.37
CVX,BEAR,78,-5.09,-5.51,Defector,True,-2.92,30,-1.37,2,-1.31,43,-2.92,3,57.6,0.59
KO,BEAR,66,-7.57,-7.54,Signal Follower,True,-0.27,25,-3.11,0,-3.05,26,-0.44,15,54.9,0.508
JNJ,BEAR,90,-8.11,-8.11,Tit-for-Tat,True,-2.63,37,-1.68,20,-5.05,25,-0.79,8,54.4,0.223
LLY,BEAR,90,-14.5,-14.74,Signal Follower,True,-3.42,29,-4.93,11,-8.89,34,-10.74,16,58.7,0.331
UNH,BEAR,90,-15.31,-15.14,Tit-for-Tat,True,-5.95,39,-4.78,14,-6.83,20,-1.56,17,55.3,0.359
